iter,lambda_1,lambda_0_1,lambda_0_0_1
1,3.0000002,3.0000002,3.0000002
2,6.000000038,6.000000038,6.000000038
3,6.000000038,6.000000025,6.000000036
4,6.000000037,1.081500114,1.276187664
5,6.000000037,2.56E-15,2.39E-15
6,6.000000036,,
7,6.000000034,,
8,6.000000032,,
9,6.000000025,,
10,6.000000022,,
11,5.243568089,,
12,3.508161307,,
13,2.337707049,,
14,1.536405565,,
15,0.9842403374,,
16,0.6047605066,,
17,0.3476737498,,
18,0.1789811495,,
19,0.07515543363,,
20,0.01958391637,,
21,0.0003286508135,,
